,recall_left,precision_left,f1_left,word_count_left,rel_count_left,sys_relations_left,question,gold_relations_left,system_relations_left,recall_right,precision_right,f1_right,word_count_right,rel_count_right,sys_relations_right,gold_relations_right,system_relations_right
31,1.0,1.0,1.0,8,1,1,which comedy album was recorded by bob saget?,[['dbo:type']],['dbo:type'],0.0,0.0,0.0,8,1,1,[['dbo:type']],['dbo:artist']
58,1.0,1.0,1.0,8,1,1,Which language family do uto-aztecan languages belong to?,[['dbo:languageFamily']],['dbo:languageFamily'],0.0,0.0,0.0,8,1,1,[['dbo:languageFamily']],['dbo:language']
77,1.0,1.0,1.0,7,1,1,What are some bands originating in London?,[['dbo:hometown']],['dbo:hometown'],0.0,0.0,0.0,7,1,0,[['dbo:hometown']],[]
96,1.0,1.0,1.0,8,1,1,what is a film produced by paul brooks?,[['dbo:producer']],['dbo:producer'],0.0,0.0,0.0,8,1,0,[['dbo:producer']],[]
103,1.0,1.0,1.0,7,1,1,what religion does abul ala maududi have,[['dbp:religion']],['dbp:religion'],0.0,0.0,0.0,7,1,1,[['dbp:religion']],['dbo:religion']
110,1.0,1.0,1.0,5,1,1,what type of organization is,[['dbo:industry']],['dbo:industry'],0.0,0.0,0.0,5,1,1,[['dbo:industry']],['dbo:type']
118,1.0,1.0,1.0,10,1,1,Name of album by the alternative metal band drowning pool.,[['dbo:artist']],['dbo:artist'],0.0,0.0,0.0,10,1,1,[['dbo:artist']],['dbo:genre']
129,1.0,1.0,1.0,8,1,1,Which ingredients do I need for carrot cake?,[['dbo:ingredient']],['dbo:ingredient'],0.0,0.0,0.0,8,1,0,[['dbo:ingredient']],[]
155,1.0,1.0,1.0,5,1,1,where is kristen hall from,[['dbo:hometown']],['dbo:hometown'],0.0,0.0,0.0,5,1,1,[['dbo:hometown']],['dbo:birthPlace']
209,1.0,1.0,1.0,6,1,1,Where is frederick baldwin adams from?,[['dbo:nationality']],['dbo:nationality'],0.0,0.0,0.0,6,1,1,[['dbo:nationality']],['dbo:birthPlace']
211,0.5,1.0,0.6666666666666666,11,2,1,Who designed the stadiums which have been rented by Oakland athletics?,"[['dbo:tenant'], ['dbp:architect']]",['dbo:tenant'],0.0,0.0,0.0,11,2,1,"[['dbo:tenant'], ['dbp:architect']]",['dbo:architect']
244,1.0,1.0,1.0,7,1,1,where was the origin of raul seixas?,[['dbo:birthPlace']],['dbo:birthPlace'],0.0,0.0,0.0,7,1,1,[['dbo:birthPlace']],['dbo:hometown']
261,1.0,1.0,1.0,11,1,1,What are the baseball players who played for San Francisco Giants?,[['dbo:team']],['dbo:team'],0.0,0.0,0.0,11,1,0,[['dbo:team']],[]
316,1.0,1.0,1.0,10,1,1,what kind of visual medium does richard harned work in,[['dbo:field']],['dbo:field'],0.0,0.0,0.0,10,1,0,[['dbo:field']],[]
318,0.5,1.0,0.6666666666666666,14,2,1,List the fields of the scientists with Sanskrit as one of the interest ?,"[['dbp:fields'], ['dbp:fields']]",['dbp:fields'],0.0,0.0,0.0,14,2,0,"[['dbp:fields'], ['dbp:fields']]",[]
331,0.5,1.0,0.6666666666666666,15,2,1,Name the movie in which Vangelis gave the music and Jordan was the cinematographer ?,"[['dbo:cinematography'], ['dbp:music']]",['dbo:cinematography'],0.0,0.0,0.0,15,2,0,"[['dbo:cinematography'], ['dbp:music']]",[]
335,0.5,1.0,0.6666666666666666,12,2,1,Which European sea has Oulu as one of the shore city ?,"[['dbo:location'], ['dbp:cities']]",['dbp:cities'],0.0,0.0,0.0,12,2,0,"[['dbo:location'], ['dbp:cities']]",[]
346,1.0,0.5,0.6666666666666666,13,1,2,"What is the name of a farm located in duplin county, north carolina",[['dbo:isPartOf']],"['dbo:isPartOf', 'dbo:location']",0.0,0.0,0.0,13,1,2,[['dbo:isPartOf']],"['dbo:city', 'dbo:location']"
356,0.5,1.0,0.6666666666666666,14,2,1,"In how many other states do people live, whose languages are spoken in Nebraska?","[['dbo:language'], ['dbp:region']]",['dbo:language'],0.0,0.0,0.0,14,2,0,"[['dbo:language'], ['dbp:region']]",[]
361,1.0,1.0,1.0,5,1,1,what is mikhail kalinin's nationality?,[['dbo:nationality']],['dbo:nationality'],0.0,0.0,0.0,5,1,1,[['dbo:nationality']],['dbo:birthPlace']
365,1.0,1.0,1.0,6,1,1,Name a film produced by metro-goldwyn-mayer,[['dbo:distributor']],['dbo:distributor'],0.0,0.0,0.0,6,1,0,[['dbo:distributor']],[]
388,1.0,1.0,1.0,8,1,1,What genre is the tv show gdgd fairies?,[['dbp:genre']],['dbp:genre'],0.0,0.0,0.0,8,1,1,[['dbp:genre']],['dbo:genre']
391,1.0,1.0,1.0,7,1,1,whats the name of a korean composer,[['dbo:occupation']],['dbo:occupation'],0.0,0.0,0.0,7,1,1,[['dbo:occupation']],['dbo:genre']
392,1.0,1.0,1.0,7,1,1,what is the nationality of steve munro,[['dbo:nationality']],['dbo:nationality'],0.0,0.0,0.0,7,1,1,[['dbo:nationality']],['dbo:birthPlace']
397,1.0,1.0,1.0,13,1,1,This album by benny goodman was released in the United States in 1990.,[['dbo:artist']],['dbo:artist'],0.0,0.0,0.0,13,1,1,[['dbo:artist']],['dbo:type']
403,0.5,1.0,0.6666666666666666,12,2,1,"Name the university located in Indiana and has affiliations with Kaplan, Inc.?","[['dbo:campus'], ['dbp:affiliations']]",['dbp:affiliations'],0.0,0.0,0.0,12,2,0,"[['dbo:campus'], ['dbp:affiliations']]",[]
442,1.0,1.0,1.0,14,1,1,"whats the original language of the written work titled  gods, demons, and others",[['dbo:language']],['dbo:language'],0.0,0.0,0.0,14,1,0,[['dbo:language']],[]
450,1.0,1.0,1.0,6,1,2,Which island is suva located on,"[['dbo:country', 'dbo:isPartOf']]","['dbo:country', 'dbo:isPartOf']",0.0,0.0,0.0,6,1,0,"[['dbo:country', 'dbo:isPartOf']]",[]
451,0.5,1.0,0.6666666666666666,14,2,1,How many sitcoms are there whose theme music is composed by a New Yorker?,"[['dbp:themeMusicComposer'], ['dbo:hometown']]",['dbp:themeMusicComposer'],0.0,0.0,0.0,14,2,0,"[['dbp:themeMusicComposer'], ['dbo:hometown']]",[]
472,1.0,1.0,1.0,11,1,1,Is Tenzing Norgay  the first person to scale Mt. Everest?,[['dbo:firstAscentPerson']],['dbo:firstAscentPerson'],0.0,0.0,0.0,11,1,0,[['dbo:firstAscentPerson']],[]
482,0.5,1.0,0.6666666666666666,15,2,1,Count the total number of conflicts people who were part of conflict in afghanisthan ?,"[['dbo:battle'], ['dbo:battle']]",['dbo:battle'],0.0,0.0,0.0,15,2,1,"[['dbo:battle'], ['dbo:battle']]",['dbp:battles']
536,0.5,1.0,0.6666666666666666,16,2,1,How many factions have fought in wars where Francois Marie Le Marchand de Lignery was involved?,"[['dbo:battle'], ['dbp:combatant']]",['dbo:battle'],0.0,0.0,0.0,16,2,1,"[['dbo:battle'], ['dbp:combatant']]",['dbp:battles']
537,1.0,1.0,1.0,6,1,1,Which software language does snort use,[['dbo:programmingLanguage']],['dbo:programmingLanguage'],0.0,0.0,0.0,6,1,0,[['dbo:programmingLanguage']],[]
572,1.0,1.0,1.0,10,1,1,"What religion does john ernest ii, duke of saxe-weimar practice",[['dbp:religion']],['dbp:religion'],0.0,0.0,0.0,10,1,1,[['dbp:religion']],['dbo:religion']
648,1.0,1.0,1.0,8,1,1,what kind of artwork does victor otiev perform,[['dbo:field']],['dbo:field'],0.0,0.0,0.0,8,1,1,[['dbo:field']],['dbo:genre']
667,1.0,1.0,1.0,5,1,1,what is a private university?,[['dbo:type']],['dbo:type'],0.0,0.0,0.0,5,1,1,[['dbo:type']],['dbo:genre']
679,1.0,0.5,0.6666666666666666,5,1,2,what country is sidekick from?,[['dbo:country']],"['dbo:country', 'dbo:hometown']",0.0,0.0,0.0,5,1,1,[['dbo:country']],['dbo:birthPlace']
696,1.0,1.0,1.0,8,1,1,Which country was henry fowle durant born in,[['dbo:nationality']],['dbo:nationality'],0.0,0.0,0.0,8,1,1,[['dbo:nationality']],['dbo:birthPlace']
710,1.0,1.0,1.0,8,1,1,Who's an actor that starred in american pie,[['dbo:occupation']],['dbo:occupation'],0.0,0.0,0.0,8,1,0,[['dbo:occupation']],[]
720,1.0,1.0,1.0,8,1,1,what is a popular film by tom shadyac,[['dbo:writer']],['dbo:writer'],0.0,0.0,0.0,8,1,0,[['dbo:writer']],[]
723,1.0,1.0,1.0,7,1,1,what commune is le bourg located in,[['dbo:country']],['dbo:country'],0.0,0.0,0.0,7,1,0,[['dbo:country']],[]
732,0.5,1.0,0.6666666666666666,18,2,1,"Who currently operates the railway lines one of whose stockholder is Chicago, St Paul, Minneapolis and Omaha railway?","[['dbp:owner'], ['dbo:operatedBy']]",['dbp:owner'],0.0,0.0,0.0,18,2,0,"[['dbp:owner'], ['dbo:operatedBy']]",[]
736,1.0,1.0,1.0,6,1,1,what is a english baroque work,[['dbo:architecturalStyle']],['dbo:architecturalStyle'],0.0,0.0,0.0,6,1,0,[['dbo:architecturalStyle']],[]
738,0.5,0.5,0.5,12,2,2,Which awards have been given to both Ingmar Bergman and Charles LeMaire?,"[['dbp:awards'], ['dbp:awards']]","['dbo:award', 'dbp:awards']",0.5,0.5,0.5,12,2,2,"[['dbp:awards'], ['dbp:awards']]","['dbo:award', 'dbp:awards']"
775,1.0,1.0,1.0,10,1,1,"what religion does  afonso, prince of portugal belong to",[['dbp:religion']],['dbp:religion'],0.0,0.0,0.0,10,1,1,[['dbp:religion']],['dbo:religion']
778,1.0,1.0,1.0,7,1,1,whats is one of hayao miyazaki's films,[['dbo:writer']],['dbo:writer'],0.0,0.0,0.0,7,1,1,[['dbo:writer']],['dbo:director']
803,0.5,1.0,0.6666666666666666,15,2,1,Which animator of Tommy Tucker's Tooth is also the film director of Alice's Wonderland ?,"[['dbo:director'], ['dbp:animator']]",['dbo:director'],0.0,0.0,0.0,15,2,0,"[['dbo:director'], ['dbp:animator']]",[]
817,1.0,1.0,1.0,10,1,1,what is the name of an album by leftover salmon,[['dbo:type']],['dbo:type'],0.0,0.0,0.0,10,1,1,[['dbo:type']],['dbo:artist']
872,1.0,1.0,1.0,7,1,1,which city does the metro times serve,[['dbo:headquarter']],['dbo:headquarter'],0.0,0.0,0.0,7,1,1,[['dbo:headquarter']],['dbo:city']
882,1.0,1.0,1.0,7,1,1,which war was held in korean peninsula,[['dbo:place']],['dbo:place'],0.0,0.0,0.0,7,1,1,[['dbo:place']],['dbo:battle']
895,1.0,1.0,1.0,5,1,1,how is space viking classified,[['dbo:literaryGenre']],['dbo:literaryGenre'],0.0,0.0,0.0,5,1,1,[['dbo:literaryGenre']],['dbo:genre']
908,0.5,1.0,0.6666666666666666,6,2,1,Who owns the airport in Paphos?,"[['dbo:city'], ['dbp:owner']]",['dbo:city'],0.0,0.0,0.0,6,2,0,"[['dbo:city'], ['dbp:owner']]",[]
925,1.0,1.0,1.0,7,1,1,Who are the children of Abigail Adams?,[['dbp:children']],['dbp:children'],0.0,0.0,0.0,7,1,0,[['dbp:children']],[]
928,1.0,1.0,1.0,12,1,1,In which countries can you pay using the West African CFA franc?,[['dbo:currency']],['dbo:currency'],0.0,0.0,0.0,12,1,0,[['dbo:currency']],[]
933,1.0,1.0,1.0,6,1,1,where is yotam ben horin from,[['dbo:hometown']],['dbo:hometown'],0.0,0.0,0.0,6,1,1,[['dbo:hometown']],['dbo:birthPlace']
940,1.0,1.0,1.0,9,1,1,In which city does the Chile Route 68 end?,[['dbo:routeEnd']],['dbo:routeEnd'],0.0,0.0,0.0,9,1,0,[['dbo:routeEnd']],[]
976,1.0,1.0,1.0,9,1,1,powerpuff girls z is what type of tv show?,[['dbp:genre']],['dbp:genre'],0.0,0.0,0.0,9,1,1,[['dbp:genre']],['dbo:genre']
1029,1.0,1.0,1.0,6,1,1,who is a burmese film producer?,[['dbo:occupation']],['dbo:occupation'],0.0,0.0,0.0,6,1,0,[['dbo:occupation']],[]
1077,1.0,1.0,1.0,4,1,1,where is pennsylvania situated,[['dbo:country']],['dbo:country'],0.0,0.0,0.0,4,1,0,[['dbo:country']],[]
1084,1.0,1.0,1.0,7,1,1,Is Christian Bale starring in Velvet Goldmine?,[['dbo:starring']],['dbo:starring'],0.0,0.0,0.0,7,1,0,[['dbo:starring']],[]
1091,0.5,1.0,0.6666666666666666,10,2,1,What show has writing of Erik Jendresen and Graham Yost?,"[['dbp:writer'], ['dbp:writer']]",['dbp:writer'],0.0,0.0,0.0,10,2,0,"[['dbp:writer'], ['dbp:writer']]",[]
1108,1.0,1.0,1.0,7,1,1,which language is used in apache cassandra,[['dbo:programmingLanguage']],['dbo:programmingLanguage'],0.0,0.0,0.0,7,1,1,[['dbo:programmingLanguage']],['dbo:language']
1124,0.5,1.0,0.6666666666666666,14,2,1,How many companies were founded in places where Dallas is the governing body ?,"[['dbo:foundationPlace'], ['dbp:governingBody']]",['dbo:foundationPlace'],0.0,0.0,0.0,14,2,0,"[['dbo:foundationPlace'], ['dbp:governingBody']]",[]
1150,1.0,1.0,1.0,5,1,1,What's a country radio station,[['dbo:programmeFormat']],['dbo:programmeFormat'],0.0,0.0,0.0,5,1,1,[['dbo:programmeFormat']],['dbo:country']
1155,1.0,1.0,1.0,4,1,1,who plays heavy metal,[['dbo:genre']],['dbo:genre'],0.0,0.0,0.0,4,1,0,[['dbo:genre']],[]
1156,1.0,1.0,1.0,7,1,1,which scissor sisters member plays the synthesizer?,[['dbo:instrument']],['dbo:instrument'],0.0,0.0,0.0,7,1,0,[['dbo:instrument']],[]
1159,0.5,1.0,0.6666666666666666,14,2,1,Name the movie whose director is Ridley Scott and it's music composer is Vangelis?,"[['dbo:musicComposer'], ['dbp:director']]",['dbo:musicComposer'],0.0,0.0,0.0,14,2,0,"[['dbo:musicComposer'], ['dbp:director']]",[]
1166,1.0,1.0,1.0,8,1,1,What constellation is 35 cancri a part of,[['dbp:constell']],['dbp:constell'],0.0,0.0,0.0,8,1,0,[['dbp:constell']],[]
1172,1.0,1.0,1.0,7,1,1,what is the nationality of gina li,[['dbo:country']],['dbo:country'],0.0,0.0,0.0,7,1,1,[['dbo:country']],['dbo:birthPlace']
1173,1.0,1.0,1.0,7,1,1,Where is whitetail ski resort located at?,[['dbo:location']],['dbo:location'],0.0,0.0,0.0,7,1,1,[['dbo:location']],['dbo:country']
1174,1.0,1.0,1.0,8,1,1,what was the reason for mohammed burhanuddins death,[['dbo:deathCause']],['dbo:deathCause'],0.0,0.0,0.0,8,1,1,[['dbo:deathCause']],['dbo:deathPlace']
1180,0.5,1.0,0.6666666666666666,12,2,1,Name the office holder whose constituency are Duboce Triangle and Haight-Ashbury ?,"[['dbp:constituency'], ['dbp:constituency']]",['dbp:constituency'],0.0,0.0,0.0,12,2,0,"[['dbp:constituency'], ['dbp:constituency']]",[]
1189,1.0,1.0,1.0,8,1,1,what is a movie produced by gerard butler,[['dbo:producer']],['dbo:producer'],0.0,0.0,0.0,8,1,1,[['dbo:producer']],['dbo:distributor']
1196,1.0,1.0,1.0,8,1,1,what is the area code of green bay?,[['dbo:isPartOf']],['dbo:isPartOf'],0.0,0.0,0.0,8,1,0,[['dbo:isPartOf']],[]
1197,1.0,1.0,1.0,7,1,1,which country is charles h. lindsey from,[['dbo:nationality']],['dbo:nationality'],0.0,0.0,0.0,7,1,1,[['dbo:nationality']],['dbo:birthPlace']
1223,1.0,1.0,1.0,11,1,1,in what city in the west coast is ash adams from,[['dbo:birthPlace']],['dbo:birthPlace'],0.0,0.0,0.0,11,1,0,[['dbo:birthPlace']],[]
1233,1.0,1.0,1.0,7,1,1,What's an album released by def leppard,[['dbo:type']],['dbo:type'],0.0,0.0,0.0,7,1,1,[['dbo:type']],['dbo:artist']
1272,1.0,1.0,1.0,9,1,1,what is a public school (government funded) in florida,[['dbo:type']],['dbo:type'],0.0,0.0,0.0,9,1,7,[['dbo:type']],"['dbo:city', 'dbo:country', 'dbo:isPartOf', 'dbo:locatedInArea', 'dbo:location', 'dbo:region', 'dbo:state']"
1274,0.5,1.0,0.6666666666666666,11,2,1,Which company ownes stock in Dagenham turbines and Ford Motor credit?,"[['dbp:owner'], ['dbp:owner']]",['dbp:owner'],0.0,0.0,0.0,11,2,0,"[['dbp:owner'], ['dbp:owner']]",[]
1280,0.5,1.0,0.6666666666666666,17,2,1,Which content license of the MSX BASIC is also the profession of the Laura K. Ipsen ?,"[['dbo:occupation'], ['dbp:license']]",['dbo:occupation'],0.0,0.0,0.0,17,2,0,"[['dbo:occupation'], ['dbp:license']]",[]
1302,1.0,1.0,1.0,9,1,1,what is a song that the style council plays,[['dbo:artist']],['dbo:artist'],0.0,0.0,0.0,9,1,1,[['dbo:artist']],['dbo:genre']
1318,1.0,1.0,1.0,7,1,1,what is the nationality of fatih erkoç?,[['dbo:hometown']],['dbo:hometown'],0.0,0.0,0.0,7,1,1,[['dbo:hometown']],['dbo:birthPlace']
1323,1.0,1.0,1.0,11,1,1,what kind of metal does the triumph of steel fall under,[['dbo:genre']],['dbo:genre'],0.0,0.0,0.0,11,1,0,[['dbo:genre']],[]
1336,1.0,1.0,1.0,9,1,1,Which country does nesrin cavadzade have their nationality in,[['dbo:nationality']],['dbo:nationality'],0.0,0.0,0.0,9,1,1,[['dbo:nationality']],['dbo:birthPlace']
1358,1.0,1.0,1.0,5,1,1,What's a university in rochester,[['dbo:location']],['dbo:location'],0.0,0.0,0.0,5,1,1,[['dbo:location']],['dbo:city']
1369,1.0,1.0,1.0,5,1,2,Where are the rotherfield greys,"[['dbo:country', 'dbo:district']]","['dbo:country', 'dbo:district']",0.0,0.0,0.0,5,1,0,"[['dbo:country', 'dbo:district']]",[]
1371,0.5,1.0,0.6666666666666666,10,2,1,What is the currency of the country of Kerguelen Islands?,"[['dbo:governmentType'], ['dbo:currency']]",['dbo:currency'],0.0,0.0,0.0,10,2,0,"[['dbo:governmentType'], ['dbo:currency']]",[]
1386,1.0,1.0,1.0,6,1,1,rocketship originated in what california city,[['dbo:hometown']],['dbo:hometown'],0.0,0.0,0.0,6,1,0,[['dbo:hometown']],[]
1387,1.0,1.0,1.0,9,1,1,What organisation regulates and controls the New Sanno Hotel?,[['dbo:tenant']],['dbo:tenant'],0.0,0.0,0.0,9,1,0,[['dbo:tenant']],[]
1423,1.0,1.0,1.0,7,1,1,what is a work by jeff bhasker,[['dbo:writer']],['dbo:writer'],0.0,0.0,0.0,7,1,0,[['dbo:writer']],[]
1424,1.0,1.0,1.0,7,1,1,what kind of show is the persuaders!,[['dbp:genre']],['dbp:genre'],0.0,0.0,0.0,7,1,1,[['dbp:genre']],['dbo:genre']
1432,1.0,1.0,1.0,7,1,1,what kind of music does krmx play,[['dbo:programmeFormat']],['dbo:programmeFormat'],0.0,0.0,0.0,7,1,1,[['dbo:programmeFormat']],['dbo:genre']
1434,1.0,1.0,1.0,4,1,1,who wrote the interpreter,[['dbo:writer']],['dbo:writer'],0.0,0.0,0.0,4,1,1,[['dbo:writer']],['dbo:author']
1436,1.0,1.0,1.0,6,1,1,what country is yevhen past from,[['dbo:birthPlace']],['dbo:birthPlace'],0.0,0.0,0.0,6,1,0,[['dbo:birthPlace']],[]
1456,1.0,1.0,1.0,7,1,1,what is carter pann's country of origin?,[['dbo:country']],['dbo:country'],0.0,0.0,0.0,7,1,1,[['dbo:country']],['dbo:birthPlace']
1461,0.5,1.0,0.6666666666666666,10,2,1,"Where does the railway tracks start, which ends in Kazan?","[['dbo:routeEnd'], ['dbo:routeStart']]",['dbo:routeEnd'],0.0,0.0,0.0,10,2,0,"[['dbo:routeEnd'], ['dbo:routeStart']]",[]
1476,1.0,1.0,1.0,3,1,1,who wrote milan?,[['dbo:writer']],['dbo:writer'],0.0,0.0,0.0,3,1,0,[['dbo:writer']],[]
1483,1.0,1.0,1.0,12,1,1,what is the name of a mountain in the great dividing range,[['dbo:mountainRange']],['dbo:mountainRange'],0.0,0.0,0.0,12,1,0,[['dbo:mountainRange']],[]
1487,1.0,1.0,1.0,10,1,1,what is a language in the  algic languages family,[['dbo:languageFamily']],['dbo:languageFamily'],0.0,0.0,0.0,10,1,0,[['dbo:languageFamily']],[]
1517,1.0,1.0,1.0,5,1,1,What is stina berg's nationality,[['dbo:nationality']],['dbo:nationality'],0.0,0.0,0.0,5,1,1,[['dbo:nationality']],['dbo:birthPlace']
1537,1.0,1.0,1.0,11,1,1,what location's time is governed by the central european time zone,[['dbo:timeZone']],['dbo:timeZone'],0.0,0.0,0.0,11,1,0,[['dbo:timeZone']],[]
1543,1.0,1.0,1.0,9,1,1,Name some schools with a bison as their mascot?,[['dbp:mascot']],['dbp:mascot'],0.0,0.0,0.0,9,1,0,[['dbp:mascot']],[]
1554,1.0,1.0,1.0,10,1,1,what film is produced by the the walt disney company?,[['dbo:distributor']],['dbo:distributor'],0.0,0.0,0.0,10,1,0,[['dbo:distributor']],[]
1555,1.0,1.0,1.0,8,1,1,what genre does trapped at sea belong to,[['dbo:literaryGenre']],['dbo:literaryGenre'],0.0,0.0,0.0,8,1,0,[['dbo:literaryGenre']],[]
1559,0.5,1.0,0.6666666666666666,8,2,1,Who fought in the battle at Tupelo Mississippi?,"[['dbo:place'], ['dbp:combatant']]",['dbo:place'],0.0,0.0,0.0,8,2,0,"[['dbo:place'], ['dbp:combatant']]",[]
1572,1.0,1.0,1.0,9,1,1,where is the hsbc arena (rio de janeiro) located?,[['dbo:location']],['dbo:location'],0.0,0.0,0.0,9,1,0,[['dbo:location']],[]
1575,0.5,1.0,0.6666666666666666,11,2,1,Who is the owner of  Latvian Wikipedia and Wiktionary ?,"[['dbo:owner'], ['dbo:owner']]",['dbo:owner'],0.0,0.0,0.0,11,2,0,"[['dbo:owner'], ['dbo:owner']]",[]
1576,1.0,1.0,1.0,11,1,1,"what is the northernmost states of Germany located in seedorf, lauenburg",[['dbo:country']],['dbo:country'],0.0,0.0,0.0,11,1,0,[['dbo:country']],[]
